@relation 'DATA_SET_2012-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R1-10,31-32,53-92'

@attribute #FORMULA_ON_P_1 numeric
@attribute #FORMULA_ON_P_2 numeric
@attribute #FORMULA_ON_P_3 numeric
@attribute #FORMULA_ON_P_4 numeric
@attribute #FORMULA_ON_P_5 numeric
@attribute #FORMULA_ON_P_6 numeric
@attribute #FORMULA_ON_P_7 numeric
@attribute #FORMULA_ON_P_8 numeric
@attribute #FORMULA_ON_P_9 numeric
@attribute #FORMULA_ON_P_10 numeric
@attribute #TABLE_ON_P_1 numeric
@attribute #TABLE_ON_P_2 numeric
@attribute #TABLE_ON_P_3 numeric
@attribute #TABLE_ON_P_4 numeric
@attribute #TABLE_ON_P_5 numeric
@attribute #TABLE_ON_P_6 numeric
@attribute #TABLE_ON_P_7 numeric
@attribute #TABLE_ON_P_8 numeric
@attribute #TABLE_ON_P_9 numeric
@attribute #TABLE_ON_P_10 numeric
@attribute LDA_TOPIC_0 numeric
@attribute LDA_TOPIC_1 numeric
@attribute LDA_TOPIC_2 numeric
@attribute LDA_TOPIC_3 numeric
@attribute LDA_TOPIC_4 numeric
@attribute LDA_TOPIC_5 numeric
@attribute LDA_TOPIC_6 numeric
@attribute LDA_TOPIC_7 numeric
@attribute LDA_TOPIC_8 numeric
@attribute LDA_TOPIC_9 numeric
@attribute LDA_TOPIC_10 numeric
@attribute LDA_TOPIC_11 numeric
@attribute LDA_TOPIC_12 numeric
@attribute LDA_TOPIC_13 numeric
@attribute LDA_TOPIC_14 numeric
@attribute LDA_TOPIC_15 numeric
@attribute LDA_TOPIC_16 numeric
@attribute LDA_TOPIC_17 numeric
@attribute LDA_TOPIC_18 numeric
@attribute LDA_TOPIC_19 numeric
@attribute SEN_COMPX_0 numeric
@attribute SEN_COMPX_1 numeric
@attribute SEN_COMPX_2 numeric
@attribute SEN_COMPX_3 numeric
@attribute SEN_COMPX_4 numeric
@attribute SEN_COMPX_5 numeric
@attribute SEN_COMPX_6 numeric
@attribute SEN_COMPX_7 numeric
@attribute SEN_COMPX_8 numeric
@attribute SEN_COMPX_9 numeric
@attribute SEN_COMPX_10 numeric
@attribute SEN_COMPX_11 numeric
@attribute SEN_COMPX_12 numeric
@attribute SEN_COMPX_13 numeric
@attribute SEN_COMPX_14 numeric
@attribute SEN_COMPX_15 numeric
@attribute SEN_COMPX_16 numeric
@attribute SEN_COMPX_17 numeric
@attribute SEN_COMPX_18 numeric
@attribute SEN_COMPX_19 numeric
@attribute SEN_COMPX_20 numeric
@attribute SEN_COMPX_21 numeric
@attribute SEN_COMPX_22 numeric
@attribute SEN_COMPX_23 numeric
@attribute SEN_COMPX_24 numeric
@attribute SEN_COMPX_25 numeric
@attribute SEN_COMPX_26 numeric
@attribute SEN_COMPX_27 numeric
@attribute SEN_COMPX_28 numeric
@attribute SEN_COMPX_29 numeric
@attribute SEN_COMPX_30 numeric
@attribute SEN_COMPX_31 numeric
@attribute SEN_COMPX_32 numeric
@attribute SEN_COMPX_33 numeric
@attribute SEN_COMPX_34 numeric
@attribute SEN_COMPX_35 numeric
@attribute SEN_COMPX_36 numeric
@attribute SEN_COMPX_37 numeric
@attribute SEN_COMPX_38 numeric
@attribute SEN_COMPX_39 numeric
@attribute CLASS {true,false}

@data
0,0,0.071429,0,0.066667,0.176471,0.166667,0.25,0,0,0,0,0,0,0,0.5,0.25,1,0,0,0.000061,0.000042,0.000025,0.000021,0.001784,0.000097,0.000079,0.000018,0.000032,0.000016,0.41359,0.888741,0.000067,0.426045,0.00004,0.00003,0.000073,0.000031,0.000013,0.017349,0,0,0,0.171858,0.499981,0.151459,0.252746,0.544565,0.537999,0.589938,0.753844,0.562535,0.431352,0.322471,0.145686,0.280871,0.080576,0.454794,0.272243,0.074612,0,0.096866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0.111111,0.071429,0,0,0.058824,0.166667,0,0,0,0,0,0,0.333333,0.333333,0,0.5,0,0,0,0.000041,0.000034,0.000012,0.000064,0,0.000016,0.014428,0.000017,0.000028,0.000022,0.528663,1,0.000034,0.140031,0.070262,0.000021,0.000377,0.000011,0.000022,0.000408,0,0,0,0.275194,0.157649,0.205737,0.316795,0.362661,0.510662,0.570889,0.252166,0.804249,0.578272,0.359073,0.380226,0.58312,0.477917,0.539523,0.242239,0,0.236016,0,0,0,0,0.280578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0.111111,0.071429,0.037037,0.666667,0.117647,0.166667,0.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000825,0.000041,0.000032,0.000025,0.000007,0.000019,0.000032,0.00002,0.000046,0.246912,0.020699,0,0.444486,0.000032,0.000041,0.000075,0.000003,0.661852,0.000032,0,0,0,0.435865,0.157461,0.252056,0.191071,0.224167,0.667637,0.376828,0.300143,0.573561,0.489374,0.28168,0.592037,0.463701,0.572989,0.396024,0.276585,0.2274,0.101079,0.09842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0.333333,0,0,0.037037,0.2,0,0.083333,0.166667,0,0,0,0,0,0,0.333333,0.5,0.25,0,0,0,0.000032,0.000061,0.014998,0.00006,0.000007,0.00005,0.000015,0.000082,0.00002,0.000016,0.460339,0.038556,0.000039,0.426977,0.697778,0.00004,0.000059,0.00003,0.000015,0.00034,0,0,0,0.222316,0.282661,0.153094,0.148784,0.377243,0.501922,0.430402,0.730569,0.789747,0.325408,0.41963,0.495414,0.318384,0.228325,0.736455,0.462898,0.253705,0.225528,0.439153,0,0,0,0,0,0.329337,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0.071429,0,0.2,0.117647,0,0.833333,0,0,0,0,0,0,0.333333,0,0,0,0,0,0.000042,0.000007,0.564371,0.000021,0.000021,0.000021,0.000033,0.000057,0.000085,0.000055,0.51327,0.016411,0.000284,0.545688,0.000022,0.000117,0.000154,0.000005,0,0.000039,0,0,0,0.441335,0.647923,0.160866,0.115987,0.319214,0.205103,0.021692,0.198892,0.269581,0.451997,0.289894,0.547393,0.476375,0.58864,0.881518,0.284151,0.389335,0.20763,0.202168,0,0.405702,0,0,0.320996,0,0.340139,0,0,0,0,0,0,0,0,0,0,0,true
0.333333,0.111111,0.071429,0.111111,0,0.117647,0.166667,0.25,0,0,0,0,0,0,0,0.25,0.5,0,0,0,0.251287,0.049883,0.000031,0.018155,0.000031,0.000021,0.000097,0.000034,0.019997,0.456865,0.318825,0.000101,0.000318,0.38115,0.00001,0.000125,0.000046,0.019065,0.000028,0.125943,0.244284,0,0,0.093217,0.15392,0.239841,0.405283,0.741835,0.848106,0.658382,0.342723,0.660692,0.370749,0.282619,0.514703,0.271335,0.311332,0.286923,0.150278,0.082364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0.111111,0.214286,0.111111,0.133333,0.176471,0.75,0.083333,0,0,0,0,0,0,0,0.75,0.5,0.25,0,0,0.502883,0.000038,0.000041,0.000021,0.000033,0.00002,0.000179,0.000017,0.000252,0.000032,0.290746,0.000086,0.000033,0.784082,0.000051,0.000158,0.000163,0.000075,0.000035,0.000043,0,0,0,0.357015,0.506553,0.181544,0.257751,0.385422,0.426767,0.416261,0.410097,0.500105,0.396215,0.314614,0.28466,0.343008,0.393571,0.317375,0.132988,0.072902,0.097203,0.189255,0.13749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.037037,0.266667,0.176471,0.083333,0.166667,0,0,0,0,0,0,0,0.25,0.25,0.75,0,0,0.316391,0.000112,0.00002,0.000015,0.000021,0.000011,0.000049,0.000002,0.000046,0.000028,0.287237,0.000088,0.000075,0.49146,0.000046,0.00001,0.00004,0.399772,0.000028,0.011886,0,0,0,0.182279,0.17628,0.109917,0.120234,0.191284,0.383846,0.377349,0.511147,0.632898,0.681056,0.476901,0.67714,0.509958,0.760672,0.75492,0.889735,0.650194,0.577937,0.281385,0,0.564672,0,0.343451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0.222222,0.214286,0.037037,0.066667,0.117647,0.166667,0.583333,0,0,0,0,0,0,0.333333,0,0,0.75,0,0,0.010964,0.573778,0.000003,0.000021,0.000002,0.000007,0.000015,0.000074,0.000022,0.000049,0.106617,0.000064,0.000023,0.453201,0.000021,0.000015,0.000025,0.000021,0.000014,0.346816,0,0,0,0.273355,0.42565,0.23763,0.255095,0.413035,0.328164,0.367363,0.448128,0.564591,0.609698,0.488566,0.226003,0.374445,0.234342,0.251954,0.46191,0.361662,0.096443,0,0,0,0.140859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0,0.266667,0.176471,0.166667,0.25,0,0,0,0,0,0,0,0,0.5,0.75,0,0,0.000083,0.000118,0.000088,0.00006,0.000023,0.001414,0.000082,0.01956,0.000086,0.000099,0.284543,0.000061,0.019883,0.700018,0.000019,0.000109,0.00004,0.519829,0.002039,0.000806,0,0,0,0.193201,0.090716,0.110579,0.198147,0.145003,0.4708,0.673661,0.609938,0.531629,0.756257,0.379273,0.807166,0.716662,0.587363,0.284168,0.496178,0.54389,0.435097,0,0.615426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
