@relation DATA_SET_2011

@attribute #FIGURE_ON_P_1 numeric
@attribute #FIGURE_ON_P_2 numeric
@attribute #FIGURE_ON_P_3 numeric
@attribute #FIGURE_ON_P_4 numeric
@attribute #FIGURE_ON_P_5 numeric
@attribute #FIGURE_ON_P_6 numeric
@attribute #FIGURE_ON_P_7 numeric
@attribute #FIGURE_ON_P_8 numeric
@attribute #FIGURE_ON_P_9 numeric
@attribute #FIGURE_ON_P_10 numeric
@attribute #FORMULA_ON_P_1 numeric
@attribute #FORMULA_ON_P_2 numeric
@attribute #FORMULA_ON_P_3 numeric
@attribute #FORMULA_ON_P_4 numeric
@attribute #FORMULA_ON_P_5 numeric
@attribute #FORMULA_ON_P_6 numeric
@attribute #FORMULA_ON_P_7 numeric
@attribute #FORMULA_ON_P_8 numeric
@attribute #FORMULA_ON_P_9 numeric
@attribute #FORMULA_ON_P_10 numeric
@attribute #TABLE_ON_P_1 numeric
@attribute #TABLE_ON_P_2 numeric
@attribute #TABLE_ON_P_3 numeric
@attribute #TABLE_ON_P_4 numeric
@attribute #TABLE_ON_P_5 numeric
@attribute #TABLE_ON_P_6 numeric
@attribute #TABLE_ON_P_7 numeric
@attribute #TABLE_ON_P_8 numeric
@attribute #TABLE_ON_P_9 numeric
@attribute #TABLE_ON_P_10 numeric
@attribute TITLE_TFIDF numeric
@attribute ABSTR_TFIDF numeric
@attribute LDA_TOPIC_0 numeric
@attribute LDA_TOPIC_1 numeric
@attribute LDA_TOPIC_2 numeric
@attribute LDA_TOPIC_3 numeric
@attribute LDA_TOPIC_4 numeric
@attribute LDA_TOPIC_5 numeric
@attribute LDA_TOPIC_6 numeric
@attribute LDA_TOPIC_7 numeric
@attribute LDA_TOPIC_8 numeric
@attribute LDA_TOPIC_9 numeric
@attribute LDA_TOPIC_10 numeric
@attribute LDA_TOPIC_11 numeric
@attribute LDA_TOPIC_12 numeric
@attribute LDA_TOPIC_13 numeric
@attribute LDA_TOPIC_14 numeric
@attribute LDA_TOPIC_15 numeric
@attribute LDA_TOPIC_16 numeric
@attribute LDA_TOPIC_17 numeric
@attribute LDA_TOPIC_18 numeric
@attribute LDA_TOPIC_19 numeric
@attribute TECH_TERM_BLEU numeric
@attribute TECH_TERM_Bayes numeric
@attribute TECH_TERM_CCG numeric
@attribute TECH_TERM_CFG numeric
@attribute TECH_TERM_CRF numeric
@attribute TECH_TERM_DAG numeric
@attribute TECH_TERM_DIRT numeric
@attribute TECH_TERM_ED numeric
@attribute TECH_TERM_EM numeric
@attribute TECH_TERM_HMM numeric
@attribute TECH_TERM_HPSG numeric
@attribute TECH_TERM_IAA numeric
@attribute TECH_TERM_Kappa numeric
@attribute TECH_TERM_LBFGS numeric
@attribute TECH_TERM_LCS numeric
@attribute TECH_TERM_LDA numeric
@attribute TECH_TERM_LFG numeric
@attribute TECH_TERM_LM numeric
@attribute TECH_TERM_LP numeric
@attribute TECH_TERM_LSI numeric
@attribute TECH_TERM_LinReg numeric
@attribute TECH_TERM_LogReg numeric
@attribute TECH_TERM_MAP numeric
@attribute TECH_TERM_MERT numeric
@attribute TECH_TERM_METEOR numeric
@attribute TECH_TERM_MI numeric
@attribute TECH_TERM_MIRA numeric
@attribute TECH_TERM_MLE numeric
@attribute TECH_TERM_MRR numeric
@attribute TECH_TERM_MST numeric
@attribute TECH_TERM_MaxEnt numeric
@attribute TECH_TERM_ROUGE numeric
@attribute TECH_TERM_SD numeric
@attribute TECH_TERM_SVM numeric
@attribute TECH_TERM_TAG numeric
@attribute TECH_TERM_TER numeric
@attribute TECH_TERM_TFIDF numeric
@attribute TECH_TERM_WER numeric
@attribute TECH_TERM_XAS numeric
@attribute MAX_RANK numeric
@attribute SEN_COMPX_0 numeric
@attribute SEN_COMPX_1 numeric
@attribute SEN_COMPX_2 numeric
@attribute SEN_COMPX_3 numeric
@attribute SEN_COMPX_4 numeric
@attribute SEN_COMPX_5 numeric
@attribute SEN_COMPX_6 numeric
@attribute SEN_COMPX_7 numeric
@attribute SEN_COMPX_8 numeric
@attribute SEN_COMPX_9 numeric
@attribute SEN_COMPX_10 numeric
@attribute SEN_COMPX_11 numeric
@attribute SEN_COMPX_12 numeric
@attribute SEN_COMPX_13 numeric
@attribute SEN_COMPX_14 numeric
@attribute SEN_COMPX_15 numeric
@attribute SEN_COMPX_16 numeric
@attribute SEN_COMPX_17 numeric
@attribute SEN_COMPX_18 numeric
@attribute SEN_COMPX_19 numeric
@attribute SEN_COMPX_20 numeric
@attribute SEN_COMPX_21 numeric
@attribute SEN_COMPX_22 numeric
@attribute SEN_COMPX_23 numeric
@attribute SEN_COMPX_24 numeric
@attribute SEN_COMPX_25 numeric
@attribute SEN_COMPX_26 numeric
@attribute SEN_COMPX_27 numeric
@attribute SEN_COMPX_28 numeric
@attribute SEN_COMPX_29 numeric
@attribute SEN_COMPX_30 numeric
@attribute SEN_COMPX_31 numeric
@attribute SEN_COMPX_32 numeric
@attribute SEN_COMPX_33 numeric
@attribute SEN_COMPX_34 numeric
@attribute SEN_COMPX_35 numeric
@attribute SEN_COMPX_36 numeric
@attribute SEN_COMPX_37 numeric
@attribute SEN_COMPX_38 numeric
@attribute SEN_COMPX_39 numeric
@attribute CLASS {true,false}

@data
0,0,0,0,0,1,0,1,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7.332369,7.33106,0.000166,0.000035,0.276986,0.00019,0.207925,0.000168,0.150636,0.021725,0.000018,0.000095,0.000103,0.000055,0.000032,0.000042,0.341514,0.000101,0.000103,0.00003,0.000038,0.000037,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,190,0,0,0,0.020619,0.079038,0.044674,0.068729,0.075601,0.075601,0.103093,0.079038,0.103093,0.085911,0.079038,0.041237,0.037801,0.030928,0.024055,0.013746,0.010309,0.006873,0.006873,0.003436,0.003436,0.003436,0,0.003436,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0,2,0,0,1,1,0,5,2,0,0,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,6.639222,11.889532,0.002149,0.000066,0.257095,0.000065,0.298993,0.000028,0.224031,0.000108,0.216084,0.000122,0.000027,0.000398,0.000046,0.000068,0.00024,0.00007,0.000079,0.000115,0.000178,0.000039,6,0,0,0,0,0,0,5,33,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,0,0,0,0.078788,0.075758,0.054545,0.066667,0.066667,0.1,0.115152,0.09697,0.066667,0.075758,0.078788,0.036364,0.024242,0.024242,0.012121,0.009091,0.009091,0.006061,0.00303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,1,0,0,1,1,1,0,0,0,0,6,0,1,7,6,4,0,0,0,0,0,0,1,1,1,0,0,0,5.252928,18.768012,0.000107,0.000047,0.247511,0.050728,0.0004,0.000044,0.161699,0.000566,0.000024,0.000076,0.000046,0.000058,0.005561,0.00009,0.532445,0.000117,0.000081,0.00009,0.000067,0.000244,11,0,0,0,0,0,0,0,6,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0.292566,0.17506,0.031175,0.038369,0.047962,0.043165,0.059952,0.071942,0.05036,0.045564,0.043165,0.031175,0.028777,0.007194,0.004796,0.007194,0.004796,0.009592,0.002398,0.002398,0,0,0,0.002398,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,1,1,0,0,1,0,0,0,1,4,4,1,1,1,0,0,0,0,0,1,0,1,2,1,0,0,0,12.467514,20.113901,0.000096,0.000028,0.266577,0.000059,0.113754,0.000041,0.213992,0.40499,0.000046,0.000056,0.000023,0.000021,0.000044,0.000035,0.000047,0.000039,0.000035,0.000027,0.000049,0.000041,27,0,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0,24,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,5,0,5,0,420,0,0,0,0.066667,0.14,0.083333,0.053333,0.07,0.056667,0.076667,0.086667,0.083333,0.056667,0.04,0.05,0.026667,0.023333,0.043333,0.016667,0,0.006667,0.003333,0.006667,0,0.006667,0,0.003333,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0,1,1,1,1,0,0,0,0,3,1,11,1,0,11,0,0,0,0,0,1,0,1,1,0,0,0,7.332369,16.005727,0.626414,0.000051,0.355592,0.001857,0.007987,0.000047,0.000341,0.000135,0.000053,0.000097,0.00005,0.000036,0.000038,0.000319,0.000106,0.000056,0.000085,0.000065,0.000062,0.006609,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,?,0,0,0,0.10452,0.319209,0.070621,0.056497,0.048023,0.053672,0.050847,0.022599,0.050847,0.042373,0.016949,0.031073,0.022599,0.022599,0.036723,0.019774,0.014124,0.00565,0.002825,0.00565,0,0,0,0.002825,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,1,0,1,0,4,3,3,0,0,0,1,13,2,0,4,6,4,0,0,0,0,0,0,1,0,0,0,0,5.54061,21.993181,0.000078,0.000036,0.332473,0.000084,0.128722,0.000067,0.000128,0.000084,0.000079,0.366185,0.000029,0.00003,0.000018,0.000044,0.13962,0.000039,0.000043,0.000041,0.000083,0.032119,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,?,0,0,0,0.261168,0.21134,0.073883,0.056701,0.058419,0.04811,0.046392,0.051546,0.032646,0.032646,0.036082,0.013746,0.032646,0.012027,0.013746,0,0.006873,0.010309,0,0.001718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,1,0,0,0,1,0,0,0,0,0,4,2,4,6,4,1,0,0,0,0,0,0,0,0,0,1,0,0,7.007456,12.815704,0.056331,0.000058,0.259245,0.000118,0.584965,0.00002,0.000069,0.000053,0.00003,0.000241,0.00004,0.09419,0.000023,0.000049,0.003898,0.000098,0.000307,0.000028,0.000054,0.000185,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0.092025,0.113497,0.039877,0.046012,0.06135,0.052147,0.055215,0.092025,0.08589,0.08589,0.076687,0.064417,0.04908,0.021472,0.009202,0.021472,0.006135,0.015337,0.006135,0.003067,0,0,0,0.003067,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,1,0,2,1,1,1,0,0,2,4,8,3,14,4,2,3,0,0,0,0,0,0,0,0,0,0,0,7.332369,9.611778,0.00007,0.000042,0.202115,0.000118,0.302908,0.000029,0.019759,0.000052,0.000024,0.000068,0.000021,0.000027,0.000018,0.000029,0.474515,0.000045,0.000042,0.000027,0.000054,0.000035,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1926,0,0,0,0.074153,0.086864,0.067797,0.072034,0.080508,0.07839,0.108051,0.082627,0.091102,0.061441,0.057203,0.042373,0.027542,0.029661,0.008475,0.006356,0.006356,0.004237,0.002119,0.002119,0,0.002119,0.002119,0.002119,0.002119,0,0,0,0,0,0.002119,0,0,0,0,0,0,true
0,0,1,1,0,1,1,0,0,0,0,0,2,7,6,6,3,2,0,0,0,0,0,0,1,1,1,2,0,0,7.332369,30.95316,0.00026,0.000046,0.231106,0.000075,0.144793,0.000033,0.000077,0.000046,0.000021,0.580766,0.000023,0.000114,0.000023,0.034558,0.000087,0.007639,0.000055,0.000066,0.000117,0.000096,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,8,0,6,0,0,0,0,0,0,0,1,0,0,0,452,0,0,0,0.194737,0.126316,0.042105,0.036842,0.034211,0.078947,0.076316,0.081579,0.068421,0.063158,0.068421,0.028947,0.036842,0.013158,0.018421,0.007895,0.007895,0.002632,0.002632,0,0.002632,0,0.002632,0.002632,0,0,0,0,0,0,0,0,0,0.002632,0,0,0,true
0,0,0,0,0,2,2,2,0,0,0,3,4,6,9,23,17,14,0,0,0,0,0,0,0,0,1,1,0,0,7.332369,41.613362,0.000413,0.000037,0.287119,0.000091,0.138345,0.000039,0.000106,0.000054,0.000025,0.573133,0.000031,0.000031,0.000024,0.000056,0.000176,0.000091,0.000062,0.000037,0.000094,0.000037,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,4,0,0,0,3,0,0,11,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,?,0,0,0,0.313078,0.231176,0.042272,0.042272,0.075297,0.063408,0.064729,0.040951,0.042272,0.027741,0.014531,0.010568,0.015852,0.007926,0.002642,0,0.001321,0.001321,0,0,0.001321,0.001321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
