@relation DATA_SET_2012

@attribute #FIGURE_ON_P_1 numeric
@attribute #FIGURE_ON_P_2 numeric
@attribute #FIGURE_ON_P_3 numeric
@attribute #FIGURE_ON_P_4 numeric
@attribute #FIGURE_ON_P_5 numeric
@attribute #FIGURE_ON_P_6 numeric
@attribute #FIGURE_ON_P_7 numeric
@attribute #FIGURE_ON_P_8 numeric
@attribute #FIGURE_ON_P_9 numeric
@attribute #FIGURE_ON_P_10 numeric
@attribute #FORMULA_ON_P_1 numeric
@attribute #FORMULA_ON_P_2 numeric
@attribute #FORMULA_ON_P_3 numeric
@attribute #FORMULA_ON_P_4 numeric
@attribute #FORMULA_ON_P_5 numeric
@attribute #FORMULA_ON_P_6 numeric
@attribute #FORMULA_ON_P_7 numeric
@attribute #FORMULA_ON_P_8 numeric
@attribute #FORMULA_ON_P_9 numeric
@attribute #FORMULA_ON_P_10 numeric
@attribute #TABLE_ON_P_1 numeric
@attribute #TABLE_ON_P_2 numeric
@attribute #TABLE_ON_P_3 numeric
@attribute #TABLE_ON_P_4 numeric
@attribute #TABLE_ON_P_5 numeric
@attribute #TABLE_ON_P_6 numeric
@attribute #TABLE_ON_P_7 numeric
@attribute #TABLE_ON_P_8 numeric
@attribute #TABLE_ON_P_9 numeric
@attribute #TABLE_ON_P_10 numeric
@attribute TITLE_TFIDF numeric
@attribute ABSTR_TFIDF numeric
@attribute LDA_TOPIC_0 numeric
@attribute LDA_TOPIC_1 numeric
@attribute LDA_TOPIC_2 numeric
@attribute LDA_TOPIC_3 numeric
@attribute LDA_TOPIC_4 numeric
@attribute LDA_TOPIC_5 numeric
@attribute LDA_TOPIC_6 numeric
@attribute LDA_TOPIC_7 numeric
@attribute LDA_TOPIC_8 numeric
@attribute LDA_TOPIC_9 numeric
@attribute LDA_TOPIC_10 numeric
@attribute LDA_TOPIC_11 numeric
@attribute LDA_TOPIC_12 numeric
@attribute LDA_TOPIC_13 numeric
@attribute LDA_TOPIC_14 numeric
@attribute LDA_TOPIC_15 numeric
@attribute LDA_TOPIC_16 numeric
@attribute LDA_TOPIC_17 numeric
@attribute LDA_TOPIC_18 numeric
@attribute LDA_TOPIC_19 numeric
@attribute TECH_TERM_BLEU numeric
@attribute TECH_TERM_Bayes numeric
@attribute TECH_TERM_CCG numeric
@attribute TECH_TERM_CFG numeric
@attribute TECH_TERM_CRF numeric
@attribute TECH_TERM_DAG numeric
@attribute TECH_TERM_DIRT numeric
@attribute TECH_TERM_ED numeric
@attribute TECH_TERM_EM numeric
@attribute TECH_TERM_HMM numeric
@attribute TECH_TERM_HPSG numeric
@attribute TECH_TERM_IAA numeric
@attribute TECH_TERM_Kappa numeric
@attribute TECH_TERM_LBFGS numeric
@attribute TECH_TERM_LCS numeric
@attribute TECH_TERM_LDA numeric
@attribute TECH_TERM_LFG numeric
@attribute TECH_TERM_LM numeric
@attribute TECH_TERM_LP numeric
@attribute TECH_TERM_LSI numeric
@attribute TECH_TERM_LinReg numeric
@attribute TECH_TERM_LogReg numeric
@attribute TECH_TERM_MAP numeric
@attribute TECH_TERM_MERT numeric
@attribute TECH_TERM_METEOR numeric
@attribute TECH_TERM_MI numeric
@attribute TECH_TERM_MIRA numeric
@attribute TECH_TERM_MLE numeric
@attribute TECH_TERM_MRR numeric
@attribute TECH_TERM_MST numeric
@attribute TECH_TERM_MaxEnt numeric
@attribute TECH_TERM_ROUGE numeric
@attribute TECH_TERM_SD numeric
@attribute TECH_TERM_SVM numeric
@attribute TECH_TERM_TAG numeric
@attribute TECH_TERM_TER numeric
@attribute TECH_TERM_TFIDF numeric
@attribute TECH_TERM_WER numeric
@attribute TECH_TERM_XAS numeric
@attribute MAX_RANK numeric
@attribute SEN_COMPX_0 numeric
@attribute SEN_COMPX_1 numeric
@attribute SEN_COMPX_2 numeric
@attribute SEN_COMPX_3 numeric
@attribute SEN_COMPX_4 numeric
@attribute SEN_COMPX_5 numeric
@attribute SEN_COMPX_6 numeric
@attribute SEN_COMPX_7 numeric
@attribute SEN_COMPX_8 numeric
@attribute SEN_COMPX_9 numeric
@attribute SEN_COMPX_10 numeric
@attribute SEN_COMPX_11 numeric
@attribute SEN_COMPX_12 numeric
@attribute SEN_COMPX_13 numeric
@attribute SEN_COMPX_14 numeric
@attribute SEN_COMPX_15 numeric
@attribute SEN_COMPX_16 numeric
@attribute SEN_COMPX_17 numeric
@attribute SEN_COMPX_18 numeric
@attribute SEN_COMPX_19 numeric
@attribute SEN_COMPX_20 numeric
@attribute SEN_COMPX_21 numeric
@attribute SEN_COMPX_22 numeric
@attribute SEN_COMPX_23 numeric
@attribute SEN_COMPX_24 numeric
@attribute SEN_COMPX_25 numeric
@attribute SEN_COMPX_26 numeric
@attribute SEN_COMPX_27 numeric
@attribute SEN_COMPX_28 numeric
@attribute SEN_COMPX_29 numeric
@attribute SEN_COMPX_30 numeric
@attribute SEN_COMPX_31 numeric
@attribute SEN_COMPX_32 numeric
@attribute SEN_COMPX_33 numeric
@attribute SEN_COMPX_34 numeric
@attribute SEN_COMPX_35 numeric
@attribute SEN_COMPX_36 numeric
@attribute SEN_COMPX_37 numeric
@attribute SEN_COMPX_38 numeric
@attribute SEN_COMPX_39 numeric
@attribute CLASS {true,false}

@data
0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,3,2,3,0,0,0,0,0,0,0,2,1,4,0,0,6.98379,20.945804,0.000086,0.000044,0.000035,0.000045,0.001104,0.00008,0.000071,0.00004,0.000035,0.000022,0.261472,0.483114,0.000067,0.241503,0.000036,0.000043,0.000078,0.000042,0.000029,0.012054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,17,0,0,0,0,1,3,0,0,?,0,0,0,0.075916,0.146597,0.04712,0.068063,0.109948,0.096859,0.104712,0.112565,0.075916,0.049738,0.039267,0.013089,0.020942,0.005236,0.018325,0.010471,0.002618,0,0.002618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,1,1,0,2,0,0,0,5.885178,20.144098,0.000072,0.000038,0.000027,0.000079,0.000023,0.000023,0.009696,0.000039,0.000033,0.000025,0.321404,0.543588,0.000046,0.079834,0.044354,0.000036,0.00027,0.000027,0.000037,0.00035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,?,0,0,0,0.114907,0.055901,0.059006,0.080745,0.080745,0.093168,0.102484,0.052795,0.102484,0.065217,0.043478,0.034161,0.043478,0.031056,0.021739,0.009317,0,0.006211,0,0,0,0,0.003106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,1,2,1,1,1,1,0,0,0,1,1,1,10,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5.597496,18.41947,0.000043,0.000581,0.000046,0.000054,0.000038,0.000017,0.000031,0.000049,0.000028,0.000037,0.174663,0.011295,0.000024,0.251927,0.000031,0.000051,0.000079,0.000021,0.560894,0.00009,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0.175532,0.055851,0.069149,0.055851,0.058511,0.114362,0.079787,0.058511,0.077128,0.055851,0.034574,0.053191,0.034574,0.037234,0.015957,0.010638,0.007979,0.00266,0.00266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
1,0,1,0,1,0,2,2,0,0,1,0,0,1,3,0,1,2,0,0,0,0,0,0,1,2,1,0,0,0,5.885178,22.48514,0.000066,0.000057,0.009785,0.000076,0.000027,0.000047,0.000028,0.000081,0.000028,0.000022,0.28582,0.021001,0.000049,0.24203,0.440388,0.00005,0.000069,0.000041,0.000031,0.000303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,176,0,0,0,0.094955,0.089021,0.047478,0.047478,0.083086,0.091988,0.086053,0.109792,0.10089,0.038576,0.050445,0.04451,0.023739,0.014837,0.029674,0.017804,0.008902,0.005935,0.011869,0,0,0,0,0,0.002967,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,1,0,0,0,1,1,0,0,0,0,1,0,3,2,0,10,0,0,0,0,0,0,1,0,0,0,0,0,6.98379,16.837384,0.000073,0.00002,0.367503,0.000045,0.000036,0.000027,0.00004,0.000065,0.000067,0.000042,0.313387,0.008964,0.000205,0.309131,0.000025,0.000106,0.000129,0.000023,0.000018,0.000095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1579,0,0,0,0.177596,0.185792,0.04918,0.040984,0.07377,0.051913,0.038251,0.046448,0.043716,0.051913,0.035519,0.04918,0.035519,0.038251,0.035519,0.010929,0.013661,0.005464,0.005464,0,0.005464,0,0,0.002732,0,0.002732,0,0,0,0,0,0,0,0,0,0,0,true
1,1,1,2,0,0,0,0,0,0,1,1,1,3,0,2,2,3,0,0,0,0,0,0,0,1,2,0,0,0,6.290643,8.418692,0.178601,0.034222,0.000039,0.014178,0.000042,0.000027,0.000083,0.00005,0.012065,0.230867,0.212117,0.000099,0.000227,0.216126,0.000017,0.000112,0.000061,0.013944,0.000042,0.087079,6,0,2,0,12,0,0,0,1,1,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0.00578,0,0,0.046243,0.054913,0.066474,0.098266,0.141618,0.138728,0.112717,0.063584,0.086705,0.043353,0.034682,0.046243,0.020231,0.020231,0.011561,0.00578,0.00289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,1,1,1,1,0,0,0,0,1,3,3,2,3,9,1,0,0,0,0,0,0,0,3,2,1,0,0,6.98379,13.963869,0.357378,0.000041,0.000046,0.000045,0.000043,0.000026,0.000138,0.000039,0.000168,0.00003,0.197493,0.000091,0.000045,0.443883,0.000043,0.000136,0.000135,0.000074,0.000048,0.000098,21,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,2,0,0,0,0.14578,0.148338,0.053708,0.069054,0.084399,0.081841,0.084399,0.071611,0.069054,0.046036,0.038363,0.025575,0.025575,0.025575,0.012788,0.005115,0.002558,0.002558,0.005115,0.002558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,3,1,2,0,0,0,0,0,0,0,1,1,3,0,0,6.290643,16.366252,0.224862,0.000092,0.000032,0.000041,0.000036,0.00002,0.000051,0.000029,0.000044,0.000028,0.195665,0.000092,0.000072,0.278479,0.00004,0.000028,0.000057,0.292009,0.000042,0.00828,9,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,323,0,0,0,0.079848,0.060837,0.038023,0.041825,0.053232,0.076046,0.079848,0.08365,0.08365,0.076046,0.057034,0.060837,0.038023,0.04943,0.030418,0.034221,0.022814,0.015209,0.007605,0,0.007605,0,0.003802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,1,0,1,1,1,0,0,0,2,3,1,1,2,2,7,0,0,0,0,0,0,1,0,0,3,0,0,6.98379,11.766645,0.007834,0.393477,0.000021,0.000045,0.000024,0.000017,0.000028,0.000076,0.000029,0.000039,0.101595,0.000079,0.000039,0.256853,0.000024,0.000032,0.000048,0.000034,0.00003,0.239674,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,4,261,0,0,0,0.114213,0.126904,0.06599,0.068528,0.088832,0.068528,0.07868,0.076142,0.076142,0.068528,0.058376,0.020305,0.027919,0.015228,0.010152,0.017766,0.01269,0.002538,0,0,0,0.002538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
1,0,1,2,0,0,1,0,0,0,0,0,0,0,4,3,2,3,0,0,0,0,0,0,0,0,2,3,0,0,5.597496,21.489987,0.000102,0.000096,0.000076,0.000076,0.000037,0.001004,0.000073,0.012735,0.000068,0.000064,0.194262,0.000077,0.012716,0.396366,0.000023,0.0001,0.000057,0.379698,0.001746,0.000625,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1715,0,0,0,0.083969,0.038168,0.038168,0.057252,0.045802,0.087786,0.114504,0.09542,0.072519,0.083969,0.045802,0.072519,0.053435,0.038168,0.01145,0.019084,0.019084,0.01145,0,0.01145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
