@relation DATA_SET_2010

@attribute #FIGURE_ON_P_1 numeric
@attribute #FIGURE_ON_P_2 numeric
@attribute #FIGURE_ON_P_3 numeric
@attribute #FIGURE_ON_P_4 numeric
@attribute #FIGURE_ON_P_5 numeric
@attribute #FIGURE_ON_P_6 numeric
@attribute #FIGURE_ON_P_7 numeric
@attribute #FIGURE_ON_P_8 numeric
@attribute #FIGURE_ON_P_9 numeric
@attribute #FIGURE_ON_P_10 numeric
@attribute #FORMULA_ON_P_1 numeric
@attribute #FORMULA_ON_P_2 numeric
@attribute #FORMULA_ON_P_3 numeric
@attribute #FORMULA_ON_P_4 numeric
@attribute #FORMULA_ON_P_5 numeric
@attribute #FORMULA_ON_P_6 numeric
@attribute #FORMULA_ON_P_7 numeric
@attribute #FORMULA_ON_P_8 numeric
@attribute #FORMULA_ON_P_9 numeric
@attribute #FORMULA_ON_P_10 numeric
@attribute #TABLE_ON_P_1 numeric
@attribute #TABLE_ON_P_2 numeric
@attribute #TABLE_ON_P_3 numeric
@attribute #TABLE_ON_P_4 numeric
@attribute #TABLE_ON_P_5 numeric
@attribute #TABLE_ON_P_6 numeric
@attribute #TABLE_ON_P_7 numeric
@attribute #TABLE_ON_P_8 numeric
@attribute #TABLE_ON_P_9 numeric
@attribute #TABLE_ON_P_10 numeric
@attribute TITLE_TFIDF numeric
@attribute ABSTR_TFIDF numeric
@attribute LDA_TOPIC_0 numeric
@attribute LDA_TOPIC_1 numeric
@attribute LDA_TOPIC_2 numeric
@attribute LDA_TOPIC_3 numeric
@attribute LDA_TOPIC_4 numeric
@attribute LDA_TOPIC_5 numeric
@attribute LDA_TOPIC_6 numeric
@attribute LDA_TOPIC_7 numeric
@attribute LDA_TOPIC_8 numeric
@attribute LDA_TOPIC_9 numeric
@attribute LDA_TOPIC_10 numeric
@attribute LDA_TOPIC_11 numeric
@attribute LDA_TOPIC_12 numeric
@attribute LDA_TOPIC_13 numeric
@attribute LDA_TOPIC_14 numeric
@attribute LDA_TOPIC_15 numeric
@attribute LDA_TOPIC_16 numeric
@attribute LDA_TOPIC_17 numeric
@attribute LDA_TOPIC_18 numeric
@attribute LDA_TOPIC_19 numeric
@attribute TECH_TERM_BLEU numeric
@attribute TECH_TERM_Bayes numeric
@attribute TECH_TERM_CCG numeric
@attribute TECH_TERM_CFG numeric
@attribute TECH_TERM_CRF numeric
@attribute TECH_TERM_DAG numeric
@attribute TECH_TERM_DIRT numeric
@attribute TECH_TERM_ED numeric
@attribute TECH_TERM_EM numeric
@attribute TECH_TERM_HMM numeric
@attribute TECH_TERM_HPSG numeric
@attribute TECH_TERM_IAA numeric
@attribute TECH_TERM_Kappa numeric
@attribute TECH_TERM_LBFGS numeric
@attribute TECH_TERM_LCS numeric
@attribute TECH_TERM_LDA numeric
@attribute TECH_TERM_LFG numeric
@attribute TECH_TERM_LM numeric
@attribute TECH_TERM_LP numeric
@attribute TECH_TERM_LSI numeric
@attribute TECH_TERM_LinReg numeric
@attribute TECH_TERM_LogReg numeric
@attribute TECH_TERM_MAP numeric
@attribute TECH_TERM_MERT numeric
@attribute TECH_TERM_METEOR numeric
@attribute TECH_TERM_MI numeric
@attribute TECH_TERM_MIRA numeric
@attribute TECH_TERM_MLE numeric
@attribute TECH_TERM_MRR numeric
@attribute TECH_TERM_MST numeric
@attribute TECH_TERM_MaxEnt numeric
@attribute TECH_TERM_ROUGE numeric
@attribute TECH_TERM_SD numeric
@attribute TECH_TERM_SVM numeric
@attribute TECH_TERM_TAG numeric
@attribute TECH_TERM_TER numeric
@attribute TECH_TERM_TFIDF numeric
@attribute TECH_TERM_WER numeric
@attribute TECH_TERM_XAS numeric
@attribute MAX_RANK numeric
@attribute SEN_COMPX_0 numeric
@attribute SEN_COMPX_1 numeric
@attribute SEN_COMPX_2 numeric
@attribute SEN_COMPX_3 numeric
@attribute SEN_COMPX_4 numeric
@attribute SEN_COMPX_5 numeric
@attribute SEN_COMPX_6 numeric
@attribute SEN_COMPX_7 numeric
@attribute SEN_COMPX_8 numeric
@attribute SEN_COMPX_9 numeric
@attribute SEN_COMPX_10 numeric
@attribute SEN_COMPX_11 numeric
@attribute SEN_COMPX_12 numeric
@attribute SEN_COMPX_13 numeric
@attribute SEN_COMPX_14 numeric
@attribute SEN_COMPX_15 numeric
@attribute SEN_COMPX_16 numeric
@attribute SEN_COMPX_17 numeric
@attribute SEN_COMPX_18 numeric
@attribute SEN_COMPX_19 numeric
@attribute SEN_COMPX_20 numeric
@attribute SEN_COMPX_21 numeric
@attribute SEN_COMPX_22 numeric
@attribute SEN_COMPX_23 numeric
@attribute SEN_COMPX_24 numeric
@attribute SEN_COMPX_25 numeric
@attribute SEN_COMPX_26 numeric
@attribute SEN_COMPX_27 numeric
@attribute SEN_COMPX_28 numeric
@attribute SEN_COMPX_29 numeric
@attribute SEN_COMPX_30 numeric
@attribute SEN_COMPX_31 numeric
@attribute SEN_COMPX_32 numeric
@attribute SEN_COMPX_33 numeric
@attribute SEN_COMPX_34 numeric
@attribute SEN_COMPX_35 numeric
@attribute SEN_COMPX_36 numeric
@attribute SEN_COMPX_37 numeric
@attribute SEN_COMPX_38 numeric
@attribute SEN_COMPX_39 numeric
@attribute CLASS {true,false}

@data
0,2,2,2,1,0,0,0,0,0,0,3,3,2,3,0,1,1,2,0,0,0,0,0,0,0,0,2,2,0,5.597496,8.297443,0.32269,0.00003,0.000102,0.000041,0.000193,0.000045,0.000162,0.000027,0.002501,0.000024,0.016988,0.060433,0.000045,0.000098,0.586799,0.009486,0.000024,0.000012,0.000168,0.000132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,?,0,0,0,0.065015,0.083591,0.043344,0.074303,0.049536,0.089783,0.092879,0.092879,0.077399,0.055728,0.065015,0.052632,0.034056,0.043344,0.018576,0.027864,0.009288,0.012384,0.003096,0,0,0,0,0.006192,0,0,0,0,0.003096,0,0,0,0,0,0,0,0,true
0,1,0,1,0,1,1,0,0,0,0,2,6,7,0,6,4,0,0,0,0,0,1,0,0,2,2,0,0,0,5.597496,12.79098,0.289453,0.000067,0.00196,0.000039,0.130675,0.000054,0.000039,0.056166,0.000081,0.000026,0.000052,0.016432,0.00003,0.000074,0.504494,0.000071,0.00005,0.000014,0.000087,0.000136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,2,0,1,0,0,0,?,0.003279,0,0,0.085246,0.101639,0.045902,0.078689,0.095082,0.108197,0.098361,0.101639,0.059016,0.065574,0.032787,0.036066,0.02623,0.022951,0.009836,0.006557,0.013115,0,0,0,0.003279,0.003279,0.003279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,2,1,4,1,2,0,0,0,0,0,2,0,11,1,5,0,3,0,0,0,0,0,0,1,1,0,3,0,0,6.98379,18.619191,0.298894,0.000047,0.022892,0.000037,0.000142,0.000053,0.000047,0.39427,0.000292,0.000024,0.00005,0.00009,0.000028,0.000042,0.253529,0.000076,0.000042,0.000016,0.000051,0.029381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,732,0,0,0,0.067568,0.1,0.1,0.091892,0.097297,0.102703,0.094595,0.1,0.051351,0.056757,0.040541,0.016216,0.027027,0,0.010811,0.02973,0.008108,0,0,0.002703,0,0.002703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,1,2,0,0,1,1,0,1,0,0,4,7,1,1,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,6.98379,7.781784,0.213283,0.000046,0.000098,0.00725,0.000073,0.00005,0.000033,0.000036,0.033309,0.000015,0.69383,0.000372,0.00002,0.000091,0.000134,0.009799,0.000031,0.000011,0.000044,0.041473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,906,0,0,0,0.102941,0.110294,0.051471,0.039216,0.071078,0.078431,0.058824,0.080882,0.071078,0.085784,0.056373,0.046569,0.044118,0.019608,0.031863,0.012255,0.004902,0.017157,0.002451,0.004902,0,0.002451,0.002451,0,0,0.002451,0.002451,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,1,5,0,1,0,1,0,0,0,3,1,1,0,1,0,4.418841,11.891117,0.366635,0.000066,0.000105,0.000069,0.034986,0.007238,0.000238,0.000023,0.42685,0.000026,0.000084,0.000155,0.000055,0.000149,0.000927,0.072399,0.000059,0.000022,0.000369,0.089545,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771,0,0,0,0.059946,0.095368,0.059946,0.081744,0.119891,0.103542,0.106267,0.073569,0.057221,0.054496,0.059946,0.049046,0.010899,0.029973,0.00545,0,0.00545,0.010899,0.00545,0.008174,0,0,0.002725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,2,0,1,0,0,0,1,0,0,0,0,3,3,1,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,5.374352,17.297526,0.320178,0.000049,0.000077,0.000093,0.000075,0.000065,0.000043,0.000024,0.00011,0.00004,0.000111,0.000579,0.00003,0.000053,0.000111,0.678036,0.000036,0.000019,0.00019,0.000082,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,?,0,0,0,0.089457,0.111821,0.051118,0.076677,0.118211,0.076677,0.102236,0.060703,0.073482,0.044728,0.041534,0.038339,0.022364,0.028754,0.019169,0.015974,0.009585,0.00639,0.009585,0,0.003195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,1,1,1,0,1,3,1,0,0,0,1,1,7,0,3,7,2,0,0,0,0,0,0,0,2,1,0,0,0,6.98379,20.945804,0.350663,0.000118,0.000139,0.00004,0.000132,0.02051,0.000093,0.00003,0.000172,0.000026,0.000061,0.047035,0.000039,0.037112,0.00008,0.000089,0.479642,0.00002,0.06392,0.00008,0,5,0,0,0,1,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,0,?,0,0,0,0.21021,0.096096,0.042042,0.048048,0.048048,0.066066,0.114114,0.063063,0.042042,0.096096,0.057057,0.036036,0.042042,0.015015,0.012012,0.003003,0.003003,0,0.006006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,1,0,0,1,0,0,6.98379,32.234981,0.295333,0.000105,0.000075,0.000072,0.000531,0.698536,0.000025,0.000024,0.000111,0.000021,0.000021,0.000195,0.000155,0.000041,0.000045,0.000081,0.000037,0.000013,0.004542,0.000037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,259,0,0,0,0.026163,0.061047,0.052326,0.055233,0.055233,0.087209,0.087209,0.104651,0.087209,0.098837,0.072674,0.052326,0.049419,0.026163,0.031977,0.011628,0.011628,0.008721,0.008721,0.005814,0.002907,0,0,0,0,0,0.002907,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,1,2,0,0,0,0,0,0,0,0,2,1,0,0,0,6.290643,11.171514,0.534214,0.00009,0.000226,0.000081,0.058124,0.012182,0.000134,0.000038,0.00035,0.000026,0.000066,0.026626,0.322657,0.017762,0.000138,0.000242,0.000076,0.000027,0.02689,0.000051,0,7,0,0,5,0,0,0,0,1,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,3,0,0,1,0,0,322,0.055901,0,0,0.173913,0.071429,0.037267,0.093168,0.055901,0.043478,0.040373,0.049689,0.055901,0.052795,0.055901,0.046584,0.043478,0.037267,0.018634,0.024845,0.015528,0.006211,0.003106,0.006211,0.003106,0.006211,0.003106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.290643,11.766645,0.395605,0.020591,0.030329,0.00904,0.002356,0.021721,0.000036,0.018015,0.192733,0.00004,0.000073,0.000716,0.000037,0.000225,0.010437,0.000425,0.297431,0.000014,0.000074,0.000102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,459,0,0,0,0.049133,0.086705,0.075145,0.052023,0.043353,0.072254,0.101156,0.098266,0.078035,0.083815,0.054913,0.060694,0.034682,0.037572,0.026012,0.008671,0.00578,0.00578,0.00289,0.00289,0.00578,0.00578,0.00289,0,0.00289,0.00289,0,0,0,0,0,0,0,0,0,0,0,true
