@relation DATA_SET_2010-weka.filters.unsupervised.attribute.Remove-R1-92-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute SEN_COMPX_0 numeric
@attribute SEN_COMPX_1 numeric
@attribute SEN_COMPX_2 numeric
@attribute SEN_COMPX_3 numeric
@attribute SEN_COMPX_4 numeric
@attribute SEN_COMPX_5 numeric
@attribute SEN_COMPX_6 numeric
@attribute SEN_COMPX_7 numeric
@attribute SEN_COMPX_8 numeric
@attribute SEN_COMPX_9 numeric
@attribute SEN_COMPX_10 numeric
@attribute SEN_COMPX_11 numeric
@attribute SEN_COMPX_12 numeric
@attribute SEN_COMPX_13 numeric
@attribute SEN_COMPX_14 numeric
@attribute SEN_COMPX_15 numeric
@attribute SEN_COMPX_16 numeric
@attribute SEN_COMPX_17 numeric
@attribute SEN_COMPX_18 numeric
@attribute SEN_COMPX_19 numeric
@attribute SEN_COMPX_20 numeric
@attribute SEN_COMPX_21 numeric
@attribute SEN_COMPX_22 numeric
@attribute SEN_COMPX_23 numeric
@attribute SEN_COMPX_24 numeric
@attribute SEN_COMPX_25 numeric
@attribute SEN_COMPX_26 numeric
@attribute SEN_COMPX_27 numeric
@attribute SEN_COMPX_28 numeric
@attribute SEN_COMPX_29 numeric
@attribute SEN_COMPX_30 numeric
@attribute SEN_COMPX_31 numeric
@attribute SEN_COMPX_32 numeric
@attribute SEN_COMPX_33 numeric
@attribute SEN_COMPX_34 numeric
@attribute SEN_COMPX_35 numeric
@attribute SEN_COMPX_36 numeric
@attribute SEN_COMPX_37 numeric
@attribute SEN_COMPX_38 numeric
@attribute SEN_COMPX_39 numeric
@attribute CLASS {true,false}

@data
0,0,0,0.062763,0.151408,0.141625,0.322966,0.254833,0.559044,0.64628,0.612386,0.467007,0.472047,0.612996,0.473688,0.40186,0.599593,0.289089,0.613002,0.227558,0.305884,0.127455,0,0,0,0,0.493308,0,0,0,0,0.9813,0,0,0,0,0,0,0,0,true
0.0234,0,0,0.085072,0.189168,0.151884,0.343041,0.520102,0.683101,0.686179,0.673501,0.354367,0.555448,0.309133,0.324594,0.309513,0.31749,0.153073,0.144253,0.32132,0,0,0,0.163297,0.148023,0.261233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.065578,0.185739,0.368853,0.403472,0.533003,0.646087,0.65877,0.662067,0.3074,0.480763,0.382242,0.145944,0.318918,0,0.168246,0.654053,0.198648,0,0,0.126137,0,0.122021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.104584,0.207276,0.174219,0.162371,0.380298,0.482564,0.398422,0.528688,0.428276,0.726638,0.531515,0.419121,0.520591,0.271245,0.495868,0.269607,0.1201,0.423776,0.100902,0.228755,0,0.110645,0.195268,0,0,0.292902,0.55153,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.057174,0.176048,0.20821,0.357024,0.664595,0.65174,0.743721,0.477668,0.343368,0.461611,0.565203,0.441414,0.128608,0.414627,0.084816,0,0.133526,0.269204,0.224363,0.381446,0,0,0.217097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.089715,0.210471,0.172804,0.333832,0.654811,0.470748,0.714382,0.387907,0.443006,0.378871,0.391605,0.345051,0.263894,0.397765,0.298318,0.351424,0.234834,0.157832,0.394591,0,0.159114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.222869,0.177571,0.136403,0.202796,0.246166,0.39926,0.800833,0.404372,0.25036,0.813987,0.537964,0.324324,0.496094,0.207708,0.186937,0.066065,0.073574,0,0.247252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.019921,0.104241,0.177649,0.235682,0.288013,0.541703,0.605013,0.694515,0.527117,0.837204,0.685209,0.470934,0.583143,0.361922,0.497642,0.255813,0.284888,0.215408,0.359022,0.271315,0.144771,0,0,0,0,0,0.65414,0,0,0,0,0,0,0,0,0,0,true
0.398931,0,0,0.182844,0.125962,0.117252,0.409312,0.291904,0.247083,0.264132,0.311066,0.33528,0.447203,0.527065,0.419256,0.513039,0.515528,0.289992,0.546585,0.380439,0.153411,0.127866,0.289841,0.154681,0.280381,0.247451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.04525,0.157923,0.269168,0.220989,0.218822,0.440949,0.706522,0.649969,0.470904,0.70996,0.517749,0.546247,0.409246,0.519747,0.404812,0.19076,0.141611,0.142765,0.118974,0.134864,0.287849,0.260925,0.230242,0,0.234084,0.345363,0,0,0,0,0,0,0,0,0,0,0,true
