@relation DATA_SET_2007-weka.filters.unsupervised.attribute.Remove-R1-92-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute SEN_COMPX_0 numeric
@attribute SEN_COMPX_1 numeric
@attribute SEN_COMPX_2 numeric
@attribute SEN_COMPX_3 numeric
@attribute SEN_COMPX_4 numeric
@attribute SEN_COMPX_5 numeric
@attribute SEN_COMPX_6 numeric
@attribute SEN_COMPX_7 numeric
@attribute SEN_COMPX_8 numeric
@attribute SEN_COMPX_9 numeric
@attribute SEN_COMPX_10 numeric
@attribute SEN_COMPX_11 numeric
@attribute SEN_COMPX_12 numeric
@attribute SEN_COMPX_13 numeric
@attribute SEN_COMPX_14 numeric
@attribute SEN_COMPX_15 numeric
@attribute SEN_COMPX_16 numeric
@attribute SEN_COMPX_17 numeric
@attribute SEN_COMPX_18 numeric
@attribute SEN_COMPX_19 numeric
@attribute SEN_COMPX_20 numeric
@attribute SEN_COMPX_21 numeric
@attribute SEN_COMPX_22 numeric
@attribute SEN_COMPX_23 numeric
@attribute SEN_COMPX_24 numeric
@attribute SEN_COMPX_25 numeric
@attribute SEN_COMPX_26 numeric
@attribute SEN_COMPX_27 numeric
@attribute SEN_COMPX_28 numeric
@attribute SEN_COMPX_29 numeric
@attribute SEN_COMPX_30 numeric
@attribute SEN_COMPX_31 numeric
@attribute SEN_COMPX_32 numeric
@attribute SEN_COMPX_33 numeric
@attribute SEN_COMPX_34 numeric
@attribute SEN_COMPX_35 numeric
@attribute SEN_COMPX_36 numeric
@attribute SEN_COMPX_37 numeric
@attribute SEN_COMPX_38 numeric
@attribute SEN_COMPX_39 numeric
@attribute CLASS {true,false}

@data
0,0,0,0.327964,0.363427,0.234883,0.141715,0.366946,0.390757,0.327804,0.493385,0.390302,0.373969,0.419398,0.286874,0.344241,0.234146,0.468306,0.4366,0.154142,0,0.164964,0.441703,0,0,0,0,0,0,0,0.594956,0,0,0,0,0,0,0,0,0,true
0,0,0,0.058672,0.127925,0.246685,0.193114,0.294192,0.402416,0.808567,0.774485,0.494363,0.502688,0.58514,0.321383,0.925541,0.157385,0.314784,0.419256,0.777066,0.410635,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.450121,0.2304,0.332919,0.214186,0.234315,0.383622,0.487055,0.461053,0.692142,0.350876,0.323627,0.301203,0.325287,0.088501,0.22126,0.294693,0.14565,0,0,0,0.122243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.159632,0.248373,0.282386,0.441848,0.334187,0.801152,0.636456,0.524454,0.465565,0.402758,0.373338,0.354978,0.348517,0.237061,0.047418,0.063156,0.078038,0.12372,0.083517,0.298133,0.130972,0,0,0,0,0,0,0.602522,0,0,0,0,0,0,0,0,0,true
0,0,0,0.055162,0.161142,0.241296,0.085947,0.379376,0.427461,0.41872,0.806986,0.866774,0.497099,0.405099,0.698578,0.424368,0.577311,0.192437,0.427166,0.633401,0.334714,0.112987,0.40335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.171125,0.16038,0.280333,0.285145,0.299795,0.304199,0.382233,0.514907,0.517967,0.367727,0.507286,0.434784,0.704328,0.383271,0.511023,0.595547,0.420492,1,0,0.602506,0.176428,0,0,0,0.405859,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.156682,0.243765,0.245421,0.147757,0.50064,0.516238,0.458904,0.551282,0.58494,0.316285,0.533549,0.418698,0.246642,0.391454,0.27961,0.446889,0.460164,0.583629,0.196988,0.175827,0,0,0,0,0.355321,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.074251,0.36219,0.100122,0.210128,0.273914,0.364692,0.348309,0.35473,0.455244,0.558375,0.680496,0.608693,0.751282,0.447147,0.255504,0.340301,0.210246,0.33332,0.450013,0.200835,0.352857,0,0.468586,0.376564,0,0.489528,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.099321,0.161451,0.232036,0.337805,0.623796,0.756937,0.591748,0.71828,0.475864,0.599004,0.36399,0.314889,0.238046,0.185048,0.231321,0.123241,0.30454,0.362119,0,0,0,0,0.339344,0,0,0,0,0,0,0,0,0,0,0,0,0,0.587779,true
0.694987,0,0,0.374261,0.270944,0.196004,0.201212,0.175489,0.287841,0.179084,0.259011,0.222056,0.149048,0.128931,0.248259,0.172351,0.182361,0.026045,0.104087,0.085752,0.067955,0,0,0,0.106625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.096621,0.130903,0.422713,0.356367,0.477418,0.564848,0.854191,0.582512,0.662804,0.385869,0.405537,0.360579,0.389411,0.192635,0.192635,0.128284,0.158514,0,0,0.151442,0,0,0.353343,0,0.306043,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.04964,0.096074,0.129344,0.111195,0.379661,0.62315,0.199955,0.899496,0.642229,0.529351,0.658961,0.393187,0.727929,0.660178,0.247565,0.43965,0.407427,0.430631,0.726728,0.259444,0,0.675688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.078023,0.116559,0.27347,0.439989,0.46383,0.577801,0.732148,0.726564,0.328224,0.497099,0.519904,0.334009,0.601185,0.2181,0.32715,0.072611,0.179468,0.142243,0.192068,0.342869,0.451782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.214458,0.075648,0.256376,0.178539,0.242954,0.235748,0.276066,0.658201,0.488847,0.700506,0.542077,0.4639,0.601185,0.477085,0.545235,0.544652,0.560815,0.533479,0,0,0.188235,0.279,1,0.401764,0.43302,0,0.435257,0.865955,0,0,0,0,0,0,0,0,0,true
0,0,0,0.398985,0.1415,0.381685,0.453345,0.385913,0.745517,0.676007,0.68127,0.252346,0.210902,0.292413,0.255003,0.137697,0.140484,0.046823,0.249492,0,0.122167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.177652,0.111096,0.437716,0.413444,0.6847,0.541905,0.868462,0.69989,0.319079,0.209345,0.366284,0.380167,0.171071,0.186178,0.232726,0.247967,0.076606,0.12145,0.081984,0.146354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.142508,0.157706,0.152195,0.391876,0.436124,0.493787,0.407166,0.501439,0.668568,0.732849,0.455745,0.477336,0.277581,0.485512,0.161842,0.215555,0.532675,0.281498,0.190024,0.169635,0,0,0.395789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.179242,0.083604,0.151329,0.239387,0.180535,0.309345,0.35032,0.511484,0.545978,0.314857,0.838514,0.739302,0.532281,0.36205,0.663766,0.482208,0.794478,0,0.531406,0.189747,1,0.494063,0.442715,0,0.383451,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.545925,0.400945,0.190414,0.186254,0.206924,0.206734,0.429204,0.373342,0.370971,0.236669,0.295103,0.358325,0.357203,0.283472,0.16198,0.377552,0.199945,0.105676,0,0.127346,0.11187,0,0.297122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.321148,0.116327,0.144534,0.185883,0.32671,0.487188,0.567342,0.677013,0.733187,0.413367,0.459968,0.383575,0.489558,0.40985,0.15369,0.136458,0.337253,0.133679,0.090239,0,0.141514,0,0,0,0.325541,0,0,0,0,0,0,0,0,0,0,0,0,true
0.062677,0,0,0.147613,0.322012,0.261994,0.1468,0.205069,0.355635,0.33815,0.548931,0.391142,0.3704,0.501341,0.417171,0.573399,0.724329,0.501466,0.296848,0.275094,0.145389,0.392552,0.175203,0,0,0.817449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.906609,0.320826,0.415779,0.107586,0.383155,0.214005,0.136152,0.069151,0.179377,0.102778,0.134437,0.257944,0.19897,0.054136,0.027068,0.252359,0.178186,0.070623,0.143022,0.340421,0.074763,0.110813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.173975,0.085516,0.523438,0.538701,0.620277,0.916081,0.565639,0.285073,0.246245,0.409517,0.246378,0.29767,0.263026,0.198788,0.278297,0.158865,0.196302,0.207449,0.140038,0,0.439258,0,0,0,0.252595,0,0,0,0,0.593707,0,0,0,0,0,0,0,true
0,0,0,0.118501,0.094594,0.104491,0.06775,0.18171,0.38582,0.265793,0.374315,0.706278,0.551579,1,0.726032,0.68607,0.466673,1,0.621553,0.219442,0.173949,0.352245,0.838429,0,0,0.489081,0.393034,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.133175,0.189477,0.743414,0.803718,0.942386,0.61765,0.527101,0.463748,0.353694,0.163561,0.081422,0.084076,0.036315,0.049403,0,0.0329,0,0,0,0.077665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.260985,0.264071,0.350501,0.457427,0.329753,0.573074,0.582058,0.574825,0.312386,0.296927,0.314163,0.321986,0.158065,0.344035,0.258023,0.114559,0.353886,0.224417,0,0.135218,0,0,0,0.253533,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0.00815,0,0,0.16398,0.13098,0.286191,0.282151,0.733495,0.769312,0.505874,0.898256,0.451489,0.333106,0.427752,0.414271,0.149132,0.304327,0.152163,0,0.083465,0.132324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.217796,0.169361,0.411146,0.316334,0.336698,0.82468,0.641394,0.406142,0.417091,0.189532,0.442879,0.392803,0.501341,0.314784,0.209856,0,0.172684,0.136865,0.09239,0.329909,0,0,0.384814,0.309243,0.333301,0,0,0,0,0,0,0,0,0,0,0,0,true
