@relation DATA_SET_2011-weka.filters.unsupervised.attribute.Remove-R1-92

@attribute SEN_COMPX_0 numeric
@attribute SEN_COMPX_1 numeric
@attribute SEN_COMPX_2 numeric
@attribute SEN_COMPX_3 numeric
@attribute SEN_COMPX_4 numeric
@attribute SEN_COMPX_5 numeric
@attribute SEN_COMPX_6 numeric
@attribute SEN_COMPX_7 numeric
@attribute SEN_COMPX_8 numeric
@attribute SEN_COMPX_9 numeric
@attribute SEN_COMPX_10 numeric
@attribute SEN_COMPX_11 numeric
@attribute SEN_COMPX_12 numeric
@attribute SEN_COMPX_13 numeric
@attribute SEN_COMPX_14 numeric
@attribute SEN_COMPX_15 numeric
@attribute SEN_COMPX_16 numeric
@attribute SEN_COMPX_17 numeric
@attribute SEN_COMPX_18 numeric
@attribute SEN_COMPX_19 numeric
@attribute SEN_COMPX_20 numeric
@attribute SEN_COMPX_21 numeric
@attribute SEN_COMPX_22 numeric
@attribute SEN_COMPX_23 numeric
@attribute SEN_COMPX_24 numeric
@attribute SEN_COMPX_25 numeric
@attribute SEN_COMPX_26 numeric
@attribute SEN_COMPX_27 numeric
@attribute SEN_COMPX_28 numeric
@attribute SEN_COMPX_29 numeric
@attribute SEN_COMPX_30 numeric
@attribute SEN_COMPX_31 numeric
@attribute SEN_COMPX_32 numeric
@attribute SEN_COMPX_33 numeric
@attribute SEN_COMPX_34 numeric
@attribute SEN_COMPX_35 numeric
@attribute SEN_COMPX_36 numeric
@attribute SEN_COMPX_37 numeric
@attribute SEN_COMPX_38 numeric
@attribute SEN_COMPX_39 numeric
@attribute CLASS {true,false}

@data
0,0,0,0.020619,0.079038,0.044674,0.068729,0.075601,0.075601,0.103093,0.079038,0.103093,0.085911,0.079038,0.041237,0.037801,0.030928,0.024055,0.013746,0.010309,0.006873,0.006873,0.003436,0.003436,0.003436,0,0.003436,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.078788,0.075758,0.054545,0.066667,0.066667,0.1,0.115152,0.09697,0.066667,0.075758,0.078788,0.036364,0.024242,0.024242,0.012121,0.009091,0.009091,0.006061,0.00303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.292566,0.17506,0.031175,0.038369,0.047962,0.043165,0.059952,0.071942,0.05036,0.045564,0.043165,0.031175,0.028777,0.007194,0.004796,0.007194,0.004796,0.009592,0.002398,0.002398,0,0,0,0.002398,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.066667,0.14,0.083333,0.053333,0.07,0.056667,0.076667,0.086667,0.083333,0.056667,0.04,0.05,0.026667,0.023333,0.043333,0.016667,0,0.006667,0.003333,0.006667,0,0.006667,0,0.003333,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.10452,0.319209,0.070621,0.056497,0.048023,0.053672,0.050847,0.022599,0.050847,0.042373,0.016949,0.031073,0.022599,0.022599,0.036723,0.019774,0.014124,0.00565,0.002825,0.00565,0,0,0,0.002825,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.261168,0.21134,0.073883,0.056701,0.058419,0.04811,0.046392,0.051546,0.032646,0.032646,0.036082,0.013746,0.032646,0.012027,0.013746,0,0.006873,0.010309,0,0.001718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.092025,0.113497,0.039877,0.046012,0.06135,0.052147,0.055215,0.092025,0.08589,0.08589,0.076687,0.064417,0.04908,0.021472,0.009202,0.021472,0.006135,0.015337,0.006135,0.003067,0,0,0,0.003067,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.074153,0.086864,0.067797,0.072034,0.080508,0.07839,0.108051,0.082627,0.091102,0.061441,0.057203,0.042373,0.027542,0.029661,0.008475,0.006356,0.006356,0.004237,0.002119,0.002119,0,0.002119,0.002119,0.002119,0.002119,0,0,0,0,0,0.002119,0,0,0,0,0,0,true
0,0,0,0.194737,0.126316,0.042105,0.036842,0.034211,0.078947,0.076316,0.081579,0.068421,0.063158,0.068421,0.028947,0.036842,0.013158,0.018421,0.007895,0.007895,0.002632,0.002632,0,0.002632,0,0.002632,0.002632,0,0,0,0,0,0,0,0,0,0.002632,0,0,0,true
0,0,0,0.313078,0.231176,0.042272,0.042272,0.075297,0.063408,0.064729,0.040951,0.042272,0.027741,0.014531,0.010568,0.015852,0.007926,0.002642,0,0.001321,0.001321,0,0,0.001321,0.001321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.094556,0.051576,0.091691,0.080229,0.074499,0.143266,0.080229,0.065903,0.063037,0.048711,0.077364,0.040115,0.017192,0.014327,0.008596,0.025788,0.008596,0.005731,0,0.005731,0.002865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.114846,0.028011,0.103641,0.072829,0.114846,0.103641,0.095238,0.070028,0.05042,0.081232,0.042017,0.042017,0.016807,0.02521,0.014006,0.002801,0.008403,0.002801,0.008403,0,0,0,0.002801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.176322,0.20403,0.047859,0.060453,0.06801,0.075567,0.052897,0.080605,0.04534,0.027708,0.032746,0.027708,0.02267,0.032746,0.010076,0.005038,0.015113,0,0.010076,0.002519,0,0,0.002519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.10411,0.150685,0.052055,0.054795,0.065753,0.073973,0.093151,0.073973,0.046575,0.060274,0.043836,0.043836,0.038356,0.027397,0.021918,0.016438,0.010959,0.010959,0.00274,0.005479,0.00274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.052459,0.065574,0.055738,0.091803,0.091803,0.095082,0.104918,0.085246,0.088525,0.078689,0.052459,0.04918,0.036066,0.006557,0.013115,0.013115,0.006557,0.003279,0,0.009836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.102326,0.101163,0.205814,0.180233,0.156977,0.127907,0.060465,0.038372,0.011628,0.00814,0.004651,0.001163,0,0,0,0,0.001163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.109023,0.166667,0.209273,0.176692,0.14787,0.093985,0.051378,0.025063,0.006266,0.003759,0.006266,0.001253,0.001253,0,0.001253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.056701,0.056701,0.005155,0.061856,0.087629,0.06701,0.123711,0.056701,0.097938,0.07732,0.020619,0.07732,0.051546,0.041237,0.041237,0.015464,0,0.015464,0.015464,0.005155,0,0.015464,0,0.005155,0,0,0,0,0,0,0,0,0.005155,0,0,0,0,true
0,0,0,0.053763,0.050179,0.028674,0.064516,0.075269,0.0681,0.082437,0.09319,0.096774,0.082437,0.060932,0.050179,0.050179,0.053763,0.017921,0.014337,0.02509,0.003584,0.014337,0.010753,0.003584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.114525,0.061453,0.027933,0.083799,0.067039,0.069832,0.100559,0.078212,0.103352,0.072626,0.069832,0.041899,0.027933,0.02514,0.011173,0.00838,0.011173,0.002793,0.00838,0.00838,0,0,0,0,0.002793,0,0,0,0,0,0,0,0,0,0,0,0.002793,true
0,0,0,0.199495,0.111111,0.128788,0.060606,0.035354,0.063131,0.065657,0.050505,0.042929,0.045455,0.025253,0.058081,0.025253,0.020202,0.007576,0.005051,0.012626,0.012626,0.007576,0.005051,0.002525,0.007576,0.005051,0.002525,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0.006088,0,0,0.668696,0.164891,0.033486,0.016235,0.012684,0.015728,0.013191,0.022324,0.008625,0.00964,0.008118,0.007103,0.004059,0.003551,0.001522,0.002029,0.001015,0,0.000507,0.000507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.037152,0.071207,0.021672,0.065015,0.068111,0.117647,0.111455,0.077399,0.086687,0.049536,0.074303,0.055728,0.024768,0.021672,0.03096,0.01548,0.018576,0.012384,0.003096,0.009288,0.003096,0.003096,0.009288,0.006192,0,0,0.003096,0,0,0,0.003096,0,0,0,0,0,0,true
0,0,0,0.104247,0.07722,0.07722,0.046332,0.027027,0.073359,0.069498,0.069498,0.07722,0.088803,0.07722,0.061776,0.030888,0.011583,0.027027,0.027027,0.023166,0.007722,0.003861,0.003861,0.007722,0.003861,0,0,0,0,0.003861,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.105058,0.042802,0.042802,0.085603,0.108949,0.093385,0.124514,0.089494,0.085603,0.062257,0.031128,0.035019,0.035019,0.027237,0.007782,0.003891,0.011673,0,0,0,0.003891,0,0.003891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.145199,0.107728,0.051522,0.065574,0.074941,0.079625,0.079625,0.079625,0.077283,0.077283,0.028103,0.037471,0.039813,0.018735,0.016393,0.007026,0.002342,0.004684,0.004684,0,0,0,0,0,0,0,0,0,0,0,0,0.002342,0,0,0,0,0,true
0,0,0,0.255605,0.100897,0.040359,0.05157,0.058296,0.060538,0.071749,0.078475,0.049327,0.047085,0.047085,0.044843,0.020179,0.022422,0.013453,0.017937,0.008969,0.002242,0.002242,0.004484,0,0,0,0,0,0.002242,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.114973,0.064171,0.034759,0.040107,0.093583,0.07754,0.106952,0.096257,0.093583,0.096257,0.05615,0.034759,0.018717,0.016043,0.018717,0.018717,0.010695,0.002674,0.002674,0,0.002674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.041825,0.022814,0.022814,0.041825,0.060837,0.08365,0.076046,0.106464,0.072243,0.114068,0.057034,0.064639,0.057034,0.030418,0.053232,0.04943,0.015209,0.007605,0.003802,0.007605,0.011407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.057627,0.033898,0.081356,0.027119,0.084746,0.067797,0.057627,0.088136,0.084746,0.105085,0.067797,0.061017,0.027119,0.020339,0.033898,0.020339,0.010169,0.030508,0.020339,0.00678,0.00339,0.00339,0.00339,0,0.00339,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.100719,0.086331,0.053957,0.068345,0.035971,0.064748,0.064748,0.118705,0.061151,0.07554,0.061151,0.032374,0.035971,0.010791,0.039568,0.02518,0.010791,0.014388,0.007194,0.007194,0.003597,0.010791,0.007194,0.003597,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.085616,0.065068,0.05137,0.054795,0.078767,0.089041,0.099315,0.065068,0.09589,0.071918,0.044521,0.034247,0.037671,0.034247,0.020548,0.020548,0.013699,0.020548,0.010274,0.003425,0.003425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.121822,0.149364,0.174788,0.207627,0.159958,0.097458,0.040254,0.026483,0.007415,0.009534,0.003178,0.001059,0,0,0.001059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.115854,0.091463,0.067073,0.042683,0.07622,0.121951,0.094512,0.082317,0.079268,0.082317,0.039634,0.042683,0.012195,0.021341,0.003049,0.012195,0.003049,0.003049,0.006098,0,0.003049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.073575,0.133679,0.190674,0.198964,0.145078,0.132642,0.074611,0.022798,0.014508,0.006218,0.004145,0.003109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.113158,0.047368,0.107895,0.060526,0.092105,0.118421,0.094737,0.102632,0.065789,0.055263,0.039474,0.042105,0.015789,0.015789,0.007895,0.007895,0.002632,0,0.002632,0.005263,0,0,0,0,0,0,0,0.002632,0,0,0,0,0,0,0,0,0,true
0,0,0,0.076125,0.051903,0.058824,0.093426,0.083045,0.128028,0.107266,0.069204,0.083045,0.058824,0.038062,0.031142,0.048443,0.020761,0.013841,0.00692,0.00692,0.00346,0.00692,0.00692,0.00692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.052817,0.049296,0.045775,0.059859,0.080986,0.073944,0.088028,0.137324,0.102113,0.052817,0.066901,0.045775,0.045775,0.028169,0.014085,0.017606,0.014085,0.010563,0.014085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.070093,0.079439,0.049065,0.098131,0.093458,0.121495,0.093458,0.10514,0.077103,0.060748,0.044393,0.03972,0.025701,0.016355,0.009346,0.002336,0.002336,0.004673,0.004673,0,0.002336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0.002208,0,0,0.189845,0.090508,0.057395,0.092715,0.086093,0.081678,0.06181,0.066225,0.07947,0.05298,0.039735,0.015453,0.013245,0.01766,0.028698,0.00883,0.004415,0.002208,0.002208,0.002208,0,0,0.002208,0.002208,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.07326,0.032967,0.069597,0.043956,0.076923,0.095238,0.080586,0.10989,0.080586,0.069597,0.065934,0.076923,0.03663,0.040293,0.018315,0.003663,0.018315,0.003663,0,0.003663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.085546,0.153392,0.053097,0.076696,0.064897,0.056047,0.091445,0.056047,0.061947,0.058997,0.058997,0.050147,0.026549,0.020649,0.011799,0.017699,0.020649,0.00885,0.00885,0.0059,0,0.0059,0.00295,0,0.00295,0,0,0,0,0,0,0,0,0,0,0,0,true
0.017284,0,0,0.125926,0.02716,0.160494,0.044444,0.074074,0.11358,0.076543,0.108642,0.061728,0.05679,0.046914,0.022222,0.014815,0.009877,0.017284,0.004938,0.012346,0.002469,0,0,0,0,0.002469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.073684,0.044737,0.044737,0.068421,0.15,0.107895,0.097368,0.102632,0.086842,0.076316,0.039474,0.031579,0.034211,0.015789,0.010526,0.007895,0,0.005263,0,0,0,0,0.002632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.05668,0.036437,0.048583,0.020243,0.052632,0.068826,0.109312,0.08502,0.121457,0.076923,0.08502,0.097166,0.044534,0.036437,0.024291,0.004049,0.004049,0.012146,0.008097,0.004049,0,0.004049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0.005865,0,0,0.076246,0.046921,0.067449,0.070381,0.067449,0.093842,0.058651,0.067449,0.076246,0.087977,0.073314,0.070381,0.041056,0.020528,0.029326,0.008798,0.014663,0.014663,0.005865,0.002933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0.002571,0,0,0.092545,0.07455,0.069409,0.017995,0.048843,0.115681,0.092545,0.07455,0.069409,0.071979,0.056555,0.053985,0.025707,0.046272,0.030848,0.010283,0.023136,0.002571,0.005141,0.010283,0,0.005141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.227273,0.221074,0.066116,0.045455,0.061983,0.066116,0.057851,0.03719,0.047521,0.047521,0.030992,0.020661,0.018595,0.022727,0.004132,0.010331,0.004132,0.004132,0.002066,0.004132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.08011,0.069061,0.069061,0.08011,0.088398,0.09116,0.116022,0.058011,0.088398,0.060773,0.058011,0.041436,0.027624,0.024862,0.01105,0.008287,0.008287,0.005525,0.005525,0,0,0.005525,0,0.002762,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.327623,0.098501,0.057816,0.057816,0.042827,0.049251,0.047109,0.059957,0.047109,0.038544,0.025696,0.029979,0.040685,0.012848,0.019272,0.008565,0.010707,0.004283,0.008565,0.004283,0.002141,0.002141,0.002141,0,0,0,0,0,0.002141,0,0,0,0,0,0,0,0,true
0,0,0,0.087766,0.06117,0.050532,0.053191,0.12766,0.151596,0.106383,0.077128,0.079787,0.066489,0.039894,0.031915,0.023936,0.007979,0.015957,0.005319,0,0.007979,0.005319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.118734,0.060686,0.092348,0.042216,0.097625,0.094987,0.07124,0.076517,0.055409,0.047493,0.047493,0.047493,0.039578,0.026385,0.013193,0.013193,0.023747,0.005277,0.015831,0.002639,0.002639,0,0,0.002639,0,0,0.002639,0,0,0,0,0,0,0,0,0,0,true
0.006803,0,0,0.119728,0.108844,0.146939,0.185034,0.133333,0.118367,0.070748,0.042177,0.029932,0.013605,0.009524,0.006803,0.004082,0.002721,0,0.001361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.072423,0.050139,0.050139,0.069638,0.111421,0.114206,0.086351,0.111421,0.083565,0.061281,0.058496,0.066852,0.013928,0.008357,0.013928,0.013928,0,0.011142,0,0.002786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0.00578,0,0,0.16185,0.069364,0.052023,0.054913,0.060694,0.052023,0.083815,0.060694,0.075145,0.063584,0.054913,0.046243,0.037572,0.043353,0.023121,0.017341,0.008671,0.008671,0.00578,0.011561,0,0.00289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.083832,0.092814,0.035928,0.04491,0.07485,0.080838,0.122754,0.095808,0.095808,0.056886,0.056886,0.04491,0.04491,0.026946,0.02994,0,0.002994,0.002994,0.005988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.107843,0.169935,0.101307,0.062092,0.071895,0.071895,0.058824,0.075163,0.052288,0.065359,0.03268,0.03268,0.013072,0.029412,0.01634,0,0.013072,0.009804,0.009804,0,0,0.003268,0.003268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.061224,0.026239,0.046647,0.037901,0.072886,0.099125,0.113703,0.090379,0.131195,0.099125,0.072886,0.046647,0.03207,0.029155,0.011662,0.005831,0.014577,0,0,0,0,0.002915,0,0.005831,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.073922,0.086242,0.110883,0.106776,0.117043,0.104723,0.082136,0.084189,0.078029,0.053388,0.028747,0.026694,0.01232,0.01232,0.008214,0.002053,0.004107,0.004107,0,0,0.002053,0,0.002053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.254335,0.096339,0.061657,0.040462,0.063584,0.061657,0.063584,0.082852,0.046243,0.046243,0.050096,0.036609,0.034682,0.019268,0.013487,0.007707,0.003854,0.003854,0.003854,0.003854,0.001927,0.001927,0.001927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.126801,0.054755,0.072046,0.069164,0.095101,0.092219,0.069164,0.057637,0.083573,0.092219,0.054755,0.051873,0.011527,0.020173,0.017291,0.008646,0.008646,0.002882,0,0.005764,0.002882,0.002882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.106628,0.043228,0.025937,0.051873,0.086455,0.074928,0.123919,0.10951,0.057637,0.086455,0.054755,0.060519,0.034582,0.023055,0.017291,0.025937,0.002882,0.008646,0,0.002882,0.002882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.359343,0.069815,0.045175,0.065708,0.078029,0.084189,0.071869,0.049281,0.051335,0.036961,0.01848,0.022587,0.014374,0.008214,0.004107,0.002053,0.008214,0.002053,0.004107,0.004107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.083019,0.026415,0.041509,0.060377,0.064151,0.101887,0.067925,0.098113,0.071698,0.060377,0.071698,0.056604,0.041509,0.037736,0.026415,0.018868,0.026415,0.022642,0.007547,0.007547,0.003774,0.003774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.111498,0.052265,0.045296,0.034843,0.04878,0.097561,0.121951,0.073171,0.069686,0.080139,0.062718,0.062718,0.055749,0.02439,0.010453,0.010453,0.006969,0.010453,0.003484,0,0.013937,0.003484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
