@relation DATA_SET_2010-weka.filters.unsupervised.attribute.Remove-R1-92

@attribute SEN_COMPX_0 numeric
@attribute SEN_COMPX_1 numeric
@attribute SEN_COMPX_2 numeric
@attribute SEN_COMPX_3 numeric
@attribute SEN_COMPX_4 numeric
@attribute SEN_COMPX_5 numeric
@attribute SEN_COMPX_6 numeric
@attribute SEN_COMPX_7 numeric
@attribute SEN_COMPX_8 numeric
@attribute SEN_COMPX_9 numeric
@attribute SEN_COMPX_10 numeric
@attribute SEN_COMPX_11 numeric
@attribute SEN_COMPX_12 numeric
@attribute SEN_COMPX_13 numeric
@attribute SEN_COMPX_14 numeric
@attribute SEN_COMPX_15 numeric
@attribute SEN_COMPX_16 numeric
@attribute SEN_COMPX_17 numeric
@attribute SEN_COMPX_18 numeric
@attribute SEN_COMPX_19 numeric
@attribute SEN_COMPX_20 numeric
@attribute SEN_COMPX_21 numeric
@attribute SEN_COMPX_22 numeric
@attribute SEN_COMPX_23 numeric
@attribute SEN_COMPX_24 numeric
@attribute SEN_COMPX_25 numeric
@attribute SEN_COMPX_26 numeric
@attribute SEN_COMPX_27 numeric
@attribute SEN_COMPX_28 numeric
@attribute SEN_COMPX_29 numeric
@attribute SEN_COMPX_30 numeric
@attribute SEN_COMPX_31 numeric
@attribute SEN_COMPX_32 numeric
@attribute SEN_COMPX_33 numeric
@attribute SEN_COMPX_34 numeric
@attribute SEN_COMPX_35 numeric
@attribute SEN_COMPX_36 numeric
@attribute SEN_COMPX_37 numeric
@attribute SEN_COMPX_38 numeric
@attribute SEN_COMPX_39 numeric
@attribute CLASS {true,false}

@data
0,0,0,0.261053,0.124211,0.063158,0.08,0.067368,0.050526,0.071579,0.086316,0.04,0.037895,0.031579,0.025263,0.016842,0.014737,0.010526,0.008421,0.004211,0.004211,0,0.002105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.168297,0.287671,0.031311,0.054795,0.046967,0.066536,0.060665,0.050881,0.054795,0.035225,0.031311,0.023483,0.017613,0.027397,0.015656,0.001957,0.005871,0.013699,0.001957,0,0,0.001957,0,0.001957,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.06,0.03,0.03,0.04,0.08,0.08,0.073333,0.126667,0.096667,0.073333,0.076667,0.076667,0.046667,0.043333,0.03,0.02,0.006667,0.003333,0.003333,0,0,0.003333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.044828,0.027586,0.034483,0.041379,0.089655,0.1,0.096552,0.113793,0.093103,0.065517,0.068966,0.044828,0.051724,0.037931,0.02069,0.017241,0.017241,0.010345,0.003448,0.003448,0.010345,0.003448,0,0.003448,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.1,0.026471,0.047059,0.044118,0.023529,0.064706,0.076471,0.108824,0.091176,0.073529,0.055882,0.076471,0.064706,0.041176,0.017647,0.035294,0.020588,0.011765,0.011765,0,0.002941,0.002941,0,0,0,0,0.002941,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.089552,0.044776,0.074627,0.098507,0.068657,0.080597,0.065672,0.101493,0.086567,0.062687,0.050746,0.053731,0.038806,0.01194,0.023881,0.01194,0.01791,0.008955,0.002985,0.002985,0,0.002985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.143921,0.121588,0.076923,0.064516,0.069479,0.1067,0.074442,0.079404,0.064516,0.057072,0.042184,0.024814,0.024814,0.014888,0.009926,0.004963,0.007444,0.009926,0.002481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.046569,0.034314,0.053922,0.071078,0.127451,0.117647,0.10049,0.102941,0.078431,0.051471,0.073529,0.04902,0.031863,0.02451,0.009804,0.007353,0.009804,0.004902,0,0.002451,0,0,0.002451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.141531,0.085847,0.051044,0.081206,0.069606,0.092807,0.116009,0.109049,0.064965,0.046404,0.046404,0.034803,0.011601,0.020882,0.009281,0.00464,0.009281,0,0,0.00232,0,0,0.00232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.179396,0.104796,0.115453,0.079929,0.079929,0.071048,0.056838,0.065719,0.046181,0.047957,0.033748,0.023091,0.031972,0.015986,0.023091,0.003552,0.007105,0.007105,0.001776,0.003552,0.001776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0.133038,0,0,0.117517,0.077605,0.066519,0.066519,0.068736,0.086475,0.077605,0.064302,0.066519,0.050998,0.039911,0.031042,0.022173,0.011086,0.008869,0.004435,0.002217,0,0,0,0,0.002217,0,0,0,0,0,0,0,0,0.002217,0,0,0,0,0,0,true
0,0,0,0.057576,0.066667,0.075758,0.042424,0.090909,0.087879,0.1,0.078788,0.078788,0.066667,0.081818,0.060606,0.027273,0.039394,0.015152,0.012121,0.00303,0,0.009091,0.006061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.086253,0.118598,0.040431,0.06469,0.061995,0.067385,0.083558,0.091644,0.097035,0.051213,0.053908,0.051213,0.040431,0.032345,0.010782,0.018868,0.005391,0.013477,0.002695,0.002695,0,0,0.002695,0,0.002695,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.185012,0.086651,0.044496,0.06089,0.091335,0.086651,0.086651,0.081967,0.0726,0.044496,0.037471,0.039813,0.042155,0.016393,0.007026,0.007026,0.004684,0.002342,0,0.002342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.144703,0.059432,0.059432,0.054264,0.087855,0.105943,0.082687,0.113695,0.074935,0.056848,0.049096,0.041344,0.005168,0.007752,0.002584,0.018088,0.010336,0.010336,0.005168,0.002584,0.002584,0,0.002584,0,0.002584,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.067797,0.110169,0.059322,0.073446,0.10452,0.059322,0.067797,0.067797,0.081921,0.084746,0.087571,0.053672,0.033898,0.025424,0.008475,0.00565,0.002825,0.002825,0,0.002825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0.008705,0,0,0.125136,0.125136,0.191513,0.170838,0.150163,0.121872,0.048966,0.030468,0.015234,0.006529,0.004353,0,0,0,0.001088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.240876,0.092457,0.053528,0.041363,0.07056,0.06326,0.060827,0.07056,0.065693,0.053528,0.034063,0.043796,0.029197,0.029197,0.012165,0.014599,0.014599,0,0.002433,0.002433,0.002433,0,0,0.002433,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.129518,0.057229,0.075301,0.069277,0.072289,0.099398,0.10241,0.069277,0.051205,0.075301,0.054217,0.045181,0.021084,0.01506,0.021084,0.01506,0.009036,0.009036,0,0.006024,0,0,0,0,0,0,0,0.003012,0,0,0,0,0,0,0,0,0,true
0,0,0,0.077143,0.077143,0.054286,0.077143,0.065714,0.097143,0.091429,0.08,0.091429,0.051429,0.057143,0.048571,0.031429,0.025714,0.017143,0.017143,0.008571,0.014286,0.005714,0.008571,0,0,0.002857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.184275,0.100737,0.056511,0.068796,0.07371,0.078624,0.093366,0.085995,0.056511,0.054054,0.029484,0.027027,0.014742,0.022113,0.022113,0.007371,0.004914,0.002457,0.004914,0.002457,0.004914,0.002457,0,0,0,0,0,0,0,0.002457,0,0,0,0,0,0,0,true
0,0,0,0.097059,0.102941,0.067647,0.058824,0.064706,0.097059,0.076471,0.076471,0.067647,0.070588,0.064706,0.035294,0.05,0.023529,0.002941,0.005882,0.014706,0.008824,0,0.008824,0.005882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.088832,0.230964,0.083756,0.07868,0.060914,0.040609,0.06599,0.058376,0.063452,0.058376,0.053299,0.022843,0.027919,0.017766,0.017766,0.007614,0.005076,0.005076,0.010152,0.002538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.122581,0.133333,0.070968,0.04086,0.105376,0.101075,0.098925,0.066667,0.068817,0.051613,0.027957,0.04086,0.027957,0.019355,0.006452,0.008602,0,0.004301,0.004301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.040752,0.037618,0.037618,0.040752,0.137931,0.094044,0.134796,0.100313,0.068966,0.100313,0.062696,0.065831,0.025078,0.009404,0.021944,0.003135,0.00627,0.003135,0.009404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.138743,0.13089,0.036649,0.054974,0.068063,0.075916,0.094241,0.073298,0.062827,0.04712,0.028796,0.060209,0.028796,0.02356,0.020942,0.007853,0.007853,0.007853,0.005236,0.002618,0.005236,0.007853,0,0.002618,0,0.002618,0,0.005236,0,0,0,0,0,0,0,0,0,true
0,0,0,0.220648,0.15587,0.054656,0.103239,0.064777,0.076923,0.074899,0.072874,0.032389,0.038462,0.024291,0.026316,0.016194,0.008097,0.01417,0.006073,0,0,0.004049,0.002024,0,0.002024,0,0,0.002024,0,0,0,0,0,0,0,0,0,0,0,0,true
